iter	MAE
0	7186231.31
1	7068669.625
2	6933150.017
3	6829851.648
4	6701797.045
5	6610339.977
6	6495401.444
7	6404410.188
8	6316219.303
9	6247736.161
10	6175268.585
11	6092738.41
12	6022878.651
13	5976289.965
14	5913556.559
15	5853871.725
16	5801529.16
17	5755330.217
18	5702620.69
19	5658213.654
20	5621967.926
21	5586231.908
22	5553280.479
23	5520317.657
24	5486932.782
25	5452693.608
26	5431887.233
27	5417137.934
28	5388120.28
29	5365208.372
30	5348491.962
31	5330562.715
32	5312576.456
33	5295017.116
34	5279739.141
35	5264924.678
36	5253135.614
37	5230212.151
38	5210670.397
39	5197377.36
40	5183238.402
41	5170516.889
42	5156584.585
43	5147937.911
44	5137269.804
45	5129091.953
46	5119829.13
47	5109059.451
48	5093508.539
49	5086619.049
50	5074562.776
51	5064250.489
52	5056873.185
53	5051368.369
54	5039780.898
55	5029672.264
56	5014803.241
57	5007808.308
58	5000125.713
59	4991071.934
60	4984292.284
61	4976338.379
62	4971108.709
63	4965128.928
64	4955369.329
65	4947462.205
66	4944612.852
67	4939255.263
68	4930494.685
69	4924000.16
70	4916938.352
71	4911244.911
72	4906737.473
73	4903300.831
74	4899689.386
75	4897454.054
76	4890370.936
77	4884708.611
78	4883012.505
79	4879824.907
80	4872879.153
81	4868338.949
82	4857634.907
83	4854258.79
84	4851180.896
85	4846431.267
86	4842911.453
87	4838302.72
88	4834224.991
89	4829663.428
90	4822710.564
91	4819728.454
92	4817705.407
93	4814665.517
94	4811443.245
95	4804984.691
96	4800164.87
97	4795362.914
98	4784131.305
99	4783352.442
100	4779373.014
101	4774408.836
102	4772300.399
103	4766314.365
104	4762866.148
105	4760711.769
106	4759406.997
107	4756285.57
108	4752990.583
109	4745387.346
110	4740113.227
111	4736844.605
112	4735097.948
113	4729537.108
114	4728179.563
115	4726704.627
116	4721047.686
117	4716437.687
118	4711645.617
119	4708499.239
120	4705272.026
121	4703377.86
122	4700054.843
123	4698966.27
124	4694811.102
125	4691728.84
126	4688956.491
127	4687283.885
128	4686240.057
129	4683960.133
130	4681279.118
131	4679488.25
132	4677792.866
133	4674428.335
134	4670262.64
135	4668460.046
136	4667254.378
137	4663050.635
138	4660124.055
139	4656305.168
140	4655221.727
141	4653848.756
142	4652220.121
143	4650569.727
144	4648963.444
145	4646832.185
146	4645351.77
147	4643364.553
148	4640141.719
149	4637678.867
150	4636430.65
151	4634501.837
152	4633171.649
153	4628937.794
154	4627654.496
155	4625208.392
156	4622734.724
157	4622042.19
158	4618918.675
159	4618641.332
160	4615935.311
161	4614942.76
162	4610683.702
163	4607346.555
164	4606407.779
165	4606138.72
166	4602775.568
167	4600346.491
168	4593030.019
169	4591722.408
170	4588984.296
171	4587066.179
172	4585198.994
173	4583432.038
174	4580943.03
175	4576570.897
176	4575327.664
177	4567642.318
178	4566355.494
179	4561958.248
180	4555247.315
181	4550753.758
182	4546220.053
183	4544049.896
184	4542890.699
185	4539217.749
186	4533178.77
187	4531952.952
188	4529816.777
189	4527723.733
190	4525030.847
191	4523785.177
192	4522234.793
193	4520066.336
194	4518689.156
195	4512409.736
196	4509730.938
197	4506596.086
198	4504633.779
199	4503317.369
200	4501390.111
201	4500374.931
202	4497640.034
203	4491362.299
204	4489439.217
205	4483373.339
206	4480534.617
207	4476438.037
208	4475804.297
209	4474828.777
210	4471777.498
211	4468578.887
212	4467950.734
213	4465331.587
214	4462516.279
215	4459264.323
216	4456678.947
217	4454403.536
218	4451512.137
219	4448764.558
220	4446373.108
221	4442487.684
222	4440828.575
223	4438149.639
224	4434768.216
225	4431620.259
226	4428408.313
227	4427466.265
228	4426994.207
229	4425603.782
230	4422712.28
231	4421381.077
232	4416304.255
233	4414223.153
234	4413196.799
235	4411923.449
236	4408133.984
237	4406421.222
238	4404564.669
239	4403772.406
240	4402335.923
241	4402021.686
242	4400179.362
243	4396232.056
244	4395783.987
245	4395122.111
246	4393592.795
247	4391339.031
248	4388829.384
249	4387267.428
250	4384772.174
251	4381451.21
252	4380169.32
253	4378827.468
254	4378218.359
255	4377048.264
256	4376416.343
257	4375066.341
258	4373751.383
259	4370429.721
260	4368710.13
261	4366429.765
262	4365828.405
263	4362580.558
264	4361582.379
265	4359678.653
266	4355657.63
267	4355183.313
268	4349783.404
269	4346006.506
270	4343016.54
271	4340118.995
272	4338387.536
273	4337496.522
274	4335257.531
275	4334095.094
276	4332829.75
277	4330988.551
278	4328353.935
279	4322754.937
280	4321941.571
281	4319888.59
282	4318796.079
283	4317781.366
284	4316312.827
285	4315603.319
286	4312048.33
287	4308442.613
288	4307586.955
289	4306285.928
290	4305400.612
291	4305108.25
292	4303614.929
293	4303135.699
294	4302315.085
295	4301638.861
296	4300167.848
297	4299575.548
298	4297942.896
299	4296330.533
300	4295838.427
301	4293440.935
302	4292632.515
303	4290338.728
304	4288211.626
305	4285728.901
306	4284785.813
307	4283026.367
308	4282205.47
309	4281304.116
310	4280329.104
311	4278212.842
312	4273231.827
313	4271279.035
314	4269754.628
315	4267695.915
316	4266381.262
317	4265659.662
318	4264451.437
319	4263275.891
320	4260333.222
321	4258984.625
322	4258706.042
323	4256006.022
324	4255199.845
325	4253785.05
326	4249635.857
327	4249125.517
328	4248337.454
329	4247851.159
330	4246933.757
331	4241445.562
332	4240655.027
333	4239253.569
334	4237726.08
335	4234030.605
336	4232951.968
337	4230402.635
338	4229941.62
339	4228820.192
340	4228127.229
341	4227727.479
342	4227414.57
343	4226955.952
344	4226337.295
345	4225364.197
346	4223216.887
347	4219934.233
348	4218068.29
349	4216362.956
350	4212631.964
351	4209973.632
352	4208544.77
353	4205737.792
354	4202336.108
355	4200864.762
356	4200596.247
357	4199651.436
358	4197382.425
359	4196956.261
360	4196374.177
361	4195876.565
362	4193488.829
363	4193434.54
364	4192463.296
365	4190424.913
366	4189671.066
367	4186712.55
368	4184902.199
369	4184700.516
370	4184336.19
371	4183802.621
372	4181778.892
373	4180813.775
374	4179284.271
375	4178764.374
376	4176447.064
377	4176284.317
378	4175192.343
379	4174510.789
380	4173948.933
381	4173660.034
382	4172052.748
383	4171255.312
384	4171034.521
385	4170128.563
386	4169876.958
387	4168205.283
388	4165923.652
389	4162859.901
390	4160241.796
391	4159411.921
392	4157688.607
393	4155811.137
394	4155113.021
395	4154422.739
396	4154077.997
397	4152643.492
398	4151032.485
399	4148575.318
400	4148430.788
401	4148207.822
402	4147513.525
403	4147414.515
404	4147231.205
405	4145797.443
406	4144942.28
407	4140433.071
408	4140190.426
409	4138826.284
410	4138194.768
411	4136735.323
412	4136263.029
413	4135383.589
414	4133183.443
415	4133039.575
416	4130300.268
417	4129687.362
418	4129235.821
419	4128702.098
420	4127400.416
421	4126318.107
422	4122847.273
423	4120904.667
424	4119977.507
425	4119736.416
426	4118223.015
427	4114983.704
428	4114129.58
429	4113747.659
430	4112362.146
431	4110871.718
432	4110061.093
433	4109410.847
434	4108894.106
435	4108679.2
436	4107697.597
437	4107226.697
438	4106116.855
439	4105490.722
440	4102599.167
441	4097736.724
442	4096030.765
443	4095622.34
444	4094677.217
445	4094236.862
446	4093934.895
447	4092114.089
448	4090379.131
449	4089951.653
450	4088706.969
451	4087063.715
452	4084497.929
453	4082712.005
454	4081398.187
455	4077665.473
456	4076482.616
457	4072907.753
458	4071889.685
459	4069735.434
460	4066007.437
461	4064960.741
462	4064693.218
463	4063237.734
464	4061676.722
465	4059415.815
466	4058571.585
467	4057455.967
468	4056557.666
469	4053836.545
470	4053119.804
471	4052875.221
472	4051127.571
473	4050443.768
474	4049019.436
475	4047312.053
476	4046224.368
477	4044986.754
478	4043339.24
479	4042733.836
480	4040901.687
481	4039663.654
482	4038972.996
483	4038788.402
484	4038114.009
485	4036891.847
486	4035698.671
487	4032847.013
488	4030972.332
489	4030207.657
490	4029003.477
491	4027428.441
492	4026722.277
493	4026060.734
494	4024888.455
495	4022907.242
496	4021687.519
497	4020671.102
498	4018853.756
499	4018473.905
500	4017162.998
501	4014796.638
502	4013910.388
503	4013110.396
504	4012933.453
505	4010819.673
506	4010597.032
507	4009962.487
508	4008840.878
509	4007797.896
510	4007045.102
511	4006354.152
512	4005182.577
513	4004085.048
514	4002004.715
515	4001763.739
516	4001204.612
517	4000555.239
518	4000165.405
519	3999482.862
520	3999331.519
521	3998682.39
522	3996718.23
523	3992738.185
524	3992141.492
525	3990322.209
526	3988723.252
527	3987181.299
528	3985844.433
529	3985679.182
530	3984449.929
531	3984285.427
532	3983170.044
533	3983108.959
534	3982931.562
535	3982795.103
536	3982219.891
537	3980784.575
538	3978083.205
539	3977798.28
540	3977369.75
541	3976332.585
542	3975936.23
543	3974237.047
544	3972030.104
545	3970757.352
546	3970712.165
547	3970164.383
548	3967827.491
549	3967753.424
550	3966829.087
551	3965723.138
552	3965332.522
553	3964917.788
554	3964502.524
555	3963330.398
556	3960070.275
557	3959397.985
558	3959054.082
559	3958982.093
560	3956968.319
561	3956937.83
562	3953956.003
563	3953357.753
564	3952497.29
565	3951325.366
566	3950762.633
567	3949993.055
568	3949265.044
569	3947980.274
570	3947070.647
571	3946446.649
572	3941912.391
573	3941694.466
574	3941128.7
575	3940853.81
576	3939955.82
577	3939235.245
578	3938466.566
579	3937113.014
580	3936692.107
581	3936289.001
582	3935243.448
583	3934643.497
584	3933997.324
585	3933369.231
586	3930948.946
587	3930581.934
588	3930210.818
589	3929882.786
590	3926296.283
591	3925582.439
592	3923710.251
593	3922687.847
594	3920672.594
595	3920476.513
596	3920303.73
597	3919951.821
598	3918153.44
599	3917224.691
600	3915693.614
601	3915075.177
602	3915031.428
603	3914331.575
604	3913977.399
605	3913929.434
606	3913820.197
607	3913565.367
608	3911471.639
609	3911330.313
610	3910988.816
611	3910075.394
612	3909720.514
613	3909685.063
614	3909533.034
615	3909353.413
616	3908875.18
617	3907900.754
618	3906905.948
619	3906135.782
620	3905065.984
621	3904179.762
622	3902117.985
623	3901644.117
624	3901314.784
625	3900784.15
626	3900451.846
627	3899511.185
628	3898839.12
629	3898367.882
630	3898096.752
631	3897989.166
632	3897254.862
633	3896837.47
634	3896437.605
635	3895712.206
636	3895632.407
637	3895028.967
638	3894211.284
639	3893634.373
640	3893567.084
641	3893002.444
642	3891447.61
643	3891277.17
644	3889944.063
645	3889441.714
646	3889125.224
647	3888234.28
648	3887959.931
649	3887803.571
650	3887793.44
651	3887596.359
652	3887531.772
653	3886643.643
654	3886443.976
655	3886360.283
656	3885805.722
657	3884189.39
658	3884022.909
659	3883012.74
660	3882389.346
661	3880937.816
662	3880852.545
663	3880793.416
664	3880429.414
665	3879627.581
666	3879499.968
667	3878030.058
668	3875567.74
669	3875552.06
670	3875356.496
671	3875123.545
672	3874768.735
673	3873729.552
674	3872916.142
675	3871452.48
676	3870531.185
677	3870254.367
678	3869962.048
679	3869809.419
680	3869033.302
681	3867111.268
682	3866724.466
683	3866113.656
