iter	Passed	Remaining
0	5	5868
1	10	5078
2	14	4691
3	17	4475
4	22	4485
5	27	4546
6	31	4420
7	34	4323
8	39	4309
9	42	4220
10	46	4179
11	50	4153
12	54	4134
13	58	4096
14	61	4049
15	65	4020
16	69	3995
17	72	3966
18	77	3979
19	83	4079
20	87	4070
21	90	4039
22	94	4009
23	98	3989
24	101	3976
25	105	3959
26	109	3935
27	112	3911
28	116	3897
29	121	3934
30	127	3999
31	132	4014
32	136	4010
33	141	4027
34	145	4016
35	152	4071
36	156	4072
37	165	4178
38	174	4289
39	181	4351
40	185	4349
41	189	4328
42	193	4306
43	200	4353
44	208	4431
45	212	4409
46	216	4390
47	223	4435
48	231	4494
49	240	4561
50	247	4605
51	252	4606
52	256	4583
53	260	4567
54	264	4548
55	268	4526
56	274	4534
57	279	4547
58	287	4592
59	293	4593
60	296	4568
61	300	4549
62	307	4580
63	312	4563
64	318	4576
65	323	4582
66	327	4562
67	331	4544
68	335	4526
69	342	4543
70	347	4542
71	350	4521
72	354	4499
73	358	4480
74	361	4461
75	365	4448
76	370	4444
77	376	4454
78	381	4444
79	385	4427
80	388	4409
81	392	4391
82	396	4379
83	400	4364
84	405	4363
85	411	4368
86	418	4390
87	423	4388
88	432	4422
89	438	4438
90	445	4447
91	451	4452
92	456	4453
93	464	4473
94	468	4462
95	475	4481
96	488	4543
97	497	4583
98	507	4617
99	515	4643
100	524	4671
101	530	4671
102	535	4664
103	542	4673
104	548	4676
105	555	4684
106	560	4676
107	564	4664
108	568	4649
109	572	4632
110	576	4616
111	580	4601
112	584	4587
113	588	4576
114	595	4580
115	603	4598
116	613	4631
117	621	4643
118	627	4644
119	631	4630
120	640	4655
121	649	4673
122	658	4694
123	665	4702
124	672	4707
125	676	4694
126	681	4687
127	688	4689
128	695	4698
129	701	4693
130	706	4684
131	710	4670
132	714	4654
133	718	4641
134	722	4630
135	725	4610
136	729	4594
137	733	4583
138	737	4570
139	741	4557
140	745	4542
141	749	4529
142	754	4518
143	759	4517
144	763	4504
145	771	4515
146	789	4583
147	794	4573
148	799	4563
149	804	4557
150	811	4564
151	816	4552
152	820	4543
153	825	4534
154	831	4532
155	844	4570
156	853	4580
157	862	4594
158	868	4594
159	870	4572
160	875	4562
161	881	4557
162	885	4547
163	890	4541
164	896	4536
165	903	4538
166	907	4525
167	912	4519
168	920	4525
169	925	4519
170	932	4519
171	936	4507
172	940	4497
173	946	4493
174	951	4484
175	955	4473
176	960	4466
177	966	4462
178	975	4474
179	982	4474
180	988	4471
181	994	4468
182	999	4460
183	1004	4455
184	1012	4459
185	1020	4464
186	1025	4456
187	1030	4451
188	1035	4443
189	1040	4434
190	1045	4427
191	1050	4419
192	1054	4410
193	1060	4404
194	1065	4398
195	1072	4400
196	1082	4411
197	1091	4420
198	1103	4441
199	1110	4441
200	1116	4437
201	1121	4429
202	1127	4427
203	1133	4422
204	1137	4410
205	1148	4426
206	1153	4417
207	1158	4412
208	1164	4408
209	1171	4405
210	1176	4399
211	1184	4401
212	1189	4396
213	1194	4387
214	1200	4383
215	1205	4376
216	1211	4370
217	1217	4366
218	1223	4362
219	1229	4359
220	1235	4353
221	1240	4346
222	1245	4339
223	1251	4334
224	1257	4331
225	1265	4333
226	1271	4330
227	1277	4324
228	1283	4321
229	1288	4315
230	1299	4326
231	1308	4332
232	1318	4340
233	1324	4337
234	1330	4330
235	1334	4320
236	1338	4309
237	1343	4301
238	1347	4291
239	1351	4281
240	1356	4271
241	1363	4270
242	1368	4264
243	1374	4257
244	1378	4247
245	1383	4240
246	1388	4233
247	1393	4225
248	1398	4218
249	1404	4213
250	1409	4207
251	1418	4210
252	1425	4210
253	1432	4208
254	1440	4208
255	1447	4207
256	1453	4201
257	1461	4202
258	1470	4207
259	1479	4211
260	1488	4213
261	1497	4217
262	1507	4223
263	1517	4229
264	1522	4223
265	1527	4214
266	1531	4205
267	1536	4195
268	1540	4186
269	1544	4176
270	1548	4165
271	1551	4153
272	1555	4141
273	1560	4135
274	1564	4124
275	1568	4113
276	1571	4102
277	1575	4091
278	1592	4116
279	1596	4105
280	1599	4093
281	1604	4085
282	1608	4074
283	1611	4063
284	1615	4052
285	1619	4042
286	1622	4031
287	1626	4020
288	1629	4009
289	1633	3998
290	1637	3988
291	1640	3977
292	1644	3966
293	1647	3956
294	1651	3946
295	1654	3936
296	1658	3925
297	1661	3914
298	1665	3904
299	1668	3894
300	1671	3882
301	1675	3873
302	1680	3865
303	1684	3855
304	1687	3846
305	1691	3835
306	1694	3826
307	1698	3815
308	1701	3805
309	1705	3796
310	1709	3786
311	1712	3776
312	1716	3766
313	1719	3756
314	1723	3747
315	1727	3738
316	1730	3728
317	1734	3719
318	1737	3709
319	1741	3699
320	1744	3690
321	1748	3680
322	1751	3671
323	1755	3663
324	1762	3661
325	1766	3652
326	1769	3642
327	1773	3633
328	1777	3625
329	1781	3616
330	1784	3606
331	1787	3597
332	1791	3587
333	1794	3578
334	1798	3569
335	1802	3561
336	1805	3551
337	1808	3543
338	1812	3534
339	1819	3532
340	1827	3530
341	1830	3521
342	1834	3513
343	1838	3505
344	1843	3500
345	1847	3492
346	1855	3492
347	1864	3494
348	1873	3494
349	1880	3491
350	1884	3483
351	1888	3476
352	1892	3469
353	1896	3460
354	1900	3452
355	1903	3443
356	1907	3435
357	1911	3427
358	1915	3420
359	1919	3412
360	1923	3404
361	1927	3396
362	1931	3389
363	1935	3381
364	1939	3374
365	1943	3367
366	1947	3359
367	1952	3352
368	1956	3345
369	1960	3337
370	1965	3331
371	1971	3327
372	1976	3323
373	1981	3317
374	1987	3312
375	1991	3304
376	1995	3297
377	1999	3289
378	2004	3284
379	2010	3280
380	2016	3276
381	2021	3269
382	2025	3262
383	2030	3256
384	2034	3250
385	2039	3244
386	2045	3240
387	2054	3240
388	2063	3241
389	2073	3243
390	2081	3242
391	2088	3239
392	2092	3232
393	2097	3226
394	2101	3219
395	2106	3213
396	2114	3211
397	2120	3207
398	2126	3203
399	2130	3196
400	2135	3189
401	2142	3186
402	2147	3180
403	2151	3174
404	2156	3168
405	2161	3162
406	2168	3159
407	2172	3152
408	2176	3145
409	2180	3137
410	2185	3131
411	2188	3124
412	2195	3120
413	2200	3114
414	2206	3110
415	2212	3105
416	2220	3104
417	2229	3104
418	2234	3098
419	2239	3092
420	2246	3088
421	2251	3083
422	2255	3076
423	2259	3069
424	2264	3064
425	2271	3060
426	2276	3054
427	2281	3048
428	2289	3047
429	2298	3046
430	2306	3045
431	2312	3040
432	2320	3038
433	2328	3037
434	2337	3035
435	2345	3034
436	2351	3029
437	2355	3022
438	2363	3020
439	2368	3014
440	2374	3010
441	2383	3009
442	2390	3006
443	2394	2998
444	2398	2991
445	2402	2983
446	2405	2976
447	2412	2973
448	2420	2970
449	2437	2979
450	2446	2978
451	2456	2977
452	2466	2977
453	2482	2985
454	2490	2983
455	2498	2981
456	2502	2973
457	2506	2965
458	2512	2961
459	2522	2960
460	2531	2959
461	2537	2954
462	2542	2949
463	2549	2944
464	2557	2942
